make,model,series,series_year,price,enginesize,fuelsystem,tankcapacity,power,seats,standardtransmission,bodyType,drive,wheelbase
BMW,X5,E53 MY06 UPGRADE 3.0d,2006,86800,3.0L,TURBO CDI,93L,150Kw,5,6A,4D WAGON,4WD,2820mm
BMW,3,E46 18i,1999,54370,1.9L,MULTI POINT F/INJ,63L,87Kw,5,5M,4D SEDAN,RWD,2725mm
BMW,3,18is,1996,57110,1.8L,ELECTRONIC F/INJ,65L,103Kw,5,4A,2D COUPE,RWD,2700mm
BMW,3,E46 16ti,2004,41750,1.8L,MULTI POINT F/INJ,63L,85Kw,5,5M,3D HATCHBACK,RWD,2725mm
BMW,3,18i,1989,36950,1.8L,ELECTRONIC F/INJ,55L,83Kw,5,5M,2D SEDAN,RWD,2570mm
BMW,3,18i,1994,46500,1.8L,ELECTRONIC F/INJ,65L,85Kw,5,5M,4D SEDAN,RWD,2700mm
BMW,3,E90 20i,2006,53400,2.0L,MULTI POINT F/INJ,65L,110Kw,5,6AS,4D SEDAN,RWD,2760mm
BMW,5,E39 23i,1996,83600,2.5L,MULTI POINT F/INJ,70L,125Kw,5,5AS,4D SEDAN,RWD,2830mm
BMW,5,E39 23i,1996,83600,2.5L,MULTI POINT F/INJ,70L,125Kw,5,5AS,4D SEDAN,RWD,2830mm
BMW,5,E39 30i SPORT,2002,101400,3.0L,MULTI POINT F/INJ,70L,170Kw,5,5AS,4D SEDAN,RWD,2830mm
BMW,5,E39 30i SPORT,2002,101400,3.0L,MULTI POINT F/INJ,70L,170Kw,5,5AS,4D SEDAN,RWD,2830mm
BMW,5,20i,1991,69100,2.0L,ELECTRONIC F/INJ,80L,110Kw,5,5A,4D SEDAN,RWD,2761mm
BMW,5,20i,1991,69100,2.0L,ELECTRONIC F/INJ,80L,110Kw,5,5A,4D SEDAN,RWD,2761mm
BMW,5,20i,1991,69100,2.0L,ELECTRONIC F/INJ,80L,110Kw,5,5A,4D SEDAN,RWD,2761mm
BMW,5,20i,1991,69100,2.0L,ELECTRONIC F/INJ,80L,110Kw,5,5A,4D SEDAN,RWD,2761mm
BMW,3,18i,1991,44300,1.8L,ELECTRONIC F/INJ,65L,85Kw,5,4A,4D SEDAN,RWD,2700mm
BMW,3,18i,1991,44300,1.8L,ELECTRONIC F/INJ,65L,85Kw,5,4A,4D SEDAN,RWD,2700mm
BMW,3,E46 18i,2000,48315,1.9L,MULTI POINT F/INJ,63L,87Kw,5,5M,4D SEDAN,RWD,2725mm
BMW,3,E46 18i,2000,48315,1.9L,MULTI POINT F/INJ,63L,87Kw,5,5M,4D SEDAN,RWD,2725mm
BMW,3,18i,1986,38600,1.8L,ELECTRONIC F/INJ,58L,77Kw,5,5M,4D SEDAN,RWD,2570mm
BMW,3,18i,1986,38600,1.8L,ELECTRONIC F/INJ,58L,77Kw,5,5M,4D SEDAN,RWD,2570mm
BMW,3,E36 18is SPORT,1998,58950,1.9L,MULTI POINT F/INJ,62L,103Kw,5,5M,2D COUPE,RWD,2700mm
BMW,3,E36 18is SPORT,1998,58950,1.9L,MULTI POINT F/INJ,62L,103Kw,5,5M,2D COUPE,RWD,2700mm
BMW,7,35iL EXECUTIVE,1988,145900,3.4L,ELECTRONIC F/INJ,95L,155Kw,5,4A,4D SEDAN,RWD,2945mm
BMW,5,25i,1991,80200,2.5L,ELECTRONIC F/INJ,80L,141Kw,5,5M,4D SEDAN,RWD,2761mm
BMW,5,25i,1991,80200,2.5L,ELECTRONIC F/INJ,80L,141Kw,5,5M,4D SEDAN,RWD,2761mm
BMW,3,E46 25Ci,2002,75000,2.5L,MULTI POINT F/INJ,63L,141Kw,5,5AS,2D COUPE,RWD,2725mm
BMW,3,E46 16ti,2005,40350,1.8L,MULTI POINT F/INJ,63L,85Kw,5,5M,3D HATCHBACK,RWD,2725mm
BMW,X5,E53 3.0d,2005,84300,3.0L,TURBO CDI,93L,150Kw,5,6A,4D WAGON,4WD,2820mm
BMW,X5,E53 3.0d,2004,84500,3.0L,TURBO CDI,93L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,3,E46 18i EXECUTIVE,2002,56550,2.0L,MULTI POINT F/INJ,63L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,3,23i,1996,62550,2.5L,MULTI POINT F/INJ,62L,110Kw,5,5ATip,4D WAGON,FWD,2703mm
BMW,3,23i,1996,62550,2.5L,MULTI POINT F/INJ,62L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,3,E46 30Ci,2001,109050,3.0L,MULTI POINT F/INJ,63L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,7,35i EXECUTIVE,1987,136500,3.4L,ELECTRONIC F/INJ,90L,110Kw,5,6M,5D HATCHBACK,FWD,2578mm
BMW,7,35i EXECUTIVE,1987,136500,3.4L,ELECTRONIC F/INJ,90L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,5,E60 25i,2005,89000,2.5L,MULTI POINT F/INJ,70L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,3,E91 23i TOURING,2006,71500,2.5L,MULTI POINT F/INJ,60L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,5,E34 25i EXECUTIVE,1996,98200,2.5L,ELECTRONIC F/INJ,80L,103Kw,5,6ADSG,4D SEDAN,FWD,2578mm
BMW,5,E34 25i EXECUTIVE,1996,98200,2.5L,ELECTRONIC F/INJ,80L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,3,E36 16i OPEN AIR,1995,46200,1.6L,MULTI POINT F/INJ,52L,80Kw,4,4ATip,2D CABRIOLET,FWD,2442mm
BMW,3,E36 16i OPEN AIR,1995,46200,1.6L,MULTI POINT F/INJ,52L,150Kw,5,5ASeq,4D SEDAN,RWD,2833mm
BMW,3,E36 16i OPEN AIR,1995,46200,1.6L,MULTI POINT F/INJ,52L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,3,E90 20i EXECUTIVE,2005,57200,2.0L,MULTI POINT F/INJ,65L,101Kw,5,5M,4D WAGON,4WD,2540mm
BMW,3,E90 20i EXECUTIVE,2005,57200,2.0L,MULTI POINT F/INJ,65L,83Kw,5,5M4x4,4D WAGON,4WD,2540mm
BMW,3,E90 20i EXECUTIVE,2005,57200,2.0L,MULTI POINT F/INJ,65L,46Kw,12,4M4x4,2D HARDTOP,4WD,2768mm
BMW,3,E90 20i EXECUTIVE,2005,57200,2.0L,MULTI POINT F/INJ,65L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,3,E46 30i,2001,90700,3.0L,MULTI POINT F/INJ,63L,125Kw,5,5AG,4D WAGON,FWD,2640mm
BMW,3,E46 30i,2001,90700,3.0L,MULTI POINT F/INJ,63L,125Kw,5,4A,5D WAGON,FWD,2665mm
BMW,X5,E53 3.0i,2004,84000,3.0L,MULTI POINT F/INJ,93L,75Kw,5,5M,3D HATCHBACK,RWD,2700mm
BMW,X5,E53 3.0i,2004,84000,3.0L,MULTI POINT F/INJ,93L,110Kw,5,5A,4D SEDAN,RWD,2761mm
BMW,X5,E53 3.0i,2004,84000,3.0L,MULTI POINT F/INJ,93L,128Kw,7,4A,4D WAGON,FWD,3030mm
BMW,X5,E53 3.0i,2004,84000,3.0L,MULTI POINT F/INJ,93L,119Kw,5,4A,4D SEDAN,RWD,2770mm
BMW,3,18is,1998,56600,1.9L,MULTI POINT F/INJ,65L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,7,35i,1984,59500,3.2L,ELECTRONIC F/INJ,100L,87Kw,5,5M,4D SEDAN,RWD,2725mm
BMW,7,35i,1984,59500,3.2L,ELECTRONIC F/INJ,100L,170Kw,5,5AS,4D WAGON,4WD,2820mm
BMW,7,35i,1984,59500,3.2L,ELECTRONIC F/INJ,100L,85Kw,5,5M,4D SEDAN,RWD,2700mm
BMW,7,35i,1984,59500,3.2L,ELECTRONIC F/INJ,100L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,3,E46 20i SPORT,2005,65300,2.2L,MULTI POINT F/INJ,63L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,3,E46 16ti,2002,43869,1.8L,MULTI POINT F/INJ,63L,55Kw,5,5M,3D HATCHBACK,FWD,2460mm
BMW,3,E46 16ti,2002,43869,1.8L,MULTI POINT F/INJ,63L,184Kw,5,6M,3D HATCHBACK,FWD,2546mm
BMW,3,E46 16ti,2002,43869,1.8L,MULTI POINT F/INJ,63L,114Kw,5,5MSel,4D SEDAN,FWD,2595mm
BMW,3,E46 16ti,2002,43869,1.8L,MULTI POINT F/INJ,63L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,3,E46 16ti,2002,43869,1.8L,MULTI POINT F/INJ,63L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,1,E87 20i,2005,44100,2.0L,MULTI POINT F/INJ,50L,100Kw,5,6M,4D WAGON,FWD,2708mm
BMW,1,E87 20i,2005,44100,2.0L,MULTI POINT F/INJ,50L,130Kw,5,5M,5D HATCHBACK,FWD,2608mm
BMW,3,20i,1989,54700,2.0L,ELECTRONIC F/INJ,65L,147Kw,4,6M,2D COUPE,RWD,2525mm
BMW,3,20i,1989,54700,2.0L,ELECTRONIC F/INJ,65L,158Kw,5,5M,2D CONVERTIBLE,FWD,2605mm
BMW,3,20i,1989,54700,2.0L,ELECTRONIC F/INJ,65L,155Kw,5,6M,4D SEDAN,FWD,2675mm
BMW,3,20i,1989,54700,2.0L,ELECTRONIC F/INJ,65L,113Kw,4,4A,2D CONVERTIBLE,FWD,2605mm
BMW,3,E46 20Ci,2001,67050,2.2L,MULTI POINT F/INJ,63L,155Kw,4,5ASEN,2D CONVERTIBLE,FWD,2675mm
BMW,3,E46 20Ci,2001,67050,2.2L,MULTI POINT F/INJ,63L,110Kw,5,5M,5D HATCHBACK,FWD,2512mm
BMW,3,25i,1988,74500,2.5L,ELECTRONIC F/INJ,55L,70Kw,5,4A,2D HARDTOP,RWD,2615mm
BMW,3,25i,1988,74500,2.5L,ELECTRONIC F/INJ,55L,128Kw,5,6ATip,4D WAGON,4WD,2855mm
BMW,3,E46 18i SPORT,2005,54500,2.0L,MULTI POINT F/INJ,63L,125Kw,5,5M,5D HATCHBACK,FWD,2600mm
BMW,3,E46 18i SPORT,2005,54500,2.0L,MULTI POINT F/INJ,63L,136Kw,5,4A,4D SEDAN,FWD,2703mm
BMW,3,E36 28i,1996,83330,2.8L,MULTI POINT F/INJ,65L,100Kw,5,6M,5D HATCHBACK,FWD,2608mm
BMW,3,E36 28i,1996,83330,2.8L,MULTI POINT F/INJ,65L,100Kw,5,4ATip,5D HATCHBACK,FWD,2608mm
BMW,3,E36 28i,1996,83330,2.8L,MULTI POINT F/INJ,65L,92Kw,5,5MSeq,5D HATCHBACK,FWD,2423mm
BMW,3,E36 28i,1996,83330,2.8L,MULTI POINT F/INJ,65L,142Kw,4,5A,2D CABRIOLET,RWD,2690mm
BMW,3,E36 28i,1996,83330,2.8L,MULTI POINT F/INJ,65L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,5,28i,1997,96500,2.8L,MULTI POINT F/INJ,70L,100Kw,5,6M,5D HATCHBACK,FWD,2608mm
BMW,5,28i,1997,96500,2.8L,MULTI POINT F/INJ,70L,77Kw,5,6ADSG,4D WAGON,FWD,2682mm
BMW,5,28i,1997,96500,2.8L,MULTI POINT F/INJ,70L,100Kw,5,5A,4D SEDAN,FWD,2562mm
BMW,3,18i,1997,51320,1.8L,ELECTRONIC F/INJ,65L,128Kw,7,4A,4D WAGON,FWD,3030mm
BMW,3,18i,1997,51320,1.8L,ELECTRONIC F/INJ,65L,104Kw,5,4A,5D HATCHBACK,FWD,2616mm
BMW,3,18i,1997,51320,1.8L,ELECTRONIC F/INJ,65L,78Kw,5,5M,5D HATCHBACK,FWD,2605mm
BMW,3,18i,1997,51320,1.8L,ELECTRONIC F/INJ,65L,92Kw,5,5M,5D HATCHBACK,FWD,2605mm
BMW,3,18i,1997,51320,1.8L,ELECTRONIC F/INJ,65L,92Kw,5,4A,5D HATCHBACK,FWD,2605mm
BMW,3,18i,1997,51320,1.8L,ELECTRONIC F/INJ,65L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,3,18is,1997,55100,1.9L,MULTI POINT F/INJ,65L,160Kw,5,5ATS,4D WAGON,4WD,2820mm
BMW,3,18is,1997,55100,1.9L,MULTI POINT F/INJ,65L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,3,E46 18i EXECUTIVE,2001,53950,2.0L,MULTI POINT F/INJ,63L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,X5,E53 3.0i,2001,82350,3.0L,MULTI POINT F/INJ,93L,120Kw,5,5ATS,4D WAGON,4WD,2820mm
BMW,X5,E53 3.0i,2001,82350,3.0L,MULTI POINT F/INJ,93L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,1,E87 20d,2006,47800,2.0L,DIESEL TURBO F/INJ,51L,125Kw,5,4A,4D SEDAN,RWD,2935mm
BMW,1,E87 20d,2006,47800,2.0L,DIESEL TURBO F/INJ,51L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,3,E46 18i EXECUTIVE,2000,52070,1.9L,MULTI POINT F/INJ,63L,82Kw,5,4A,4D SEDAN,RWD,2665mm
BMW,3,E46 18i EXECUTIVE,2000,52070,1.9L,MULTI POINT F/INJ,63L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,X5,E53 3.0i,2006,84000,3.0L,MULTI POINT F/INJ,93L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,3,18i,1995,49650,1.8L,ELECTRONIC F/INJ,65L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,3,23Ci,1999,73900,2.5L,MULTI POINT F/INJ,63L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,X5,E53 MY06 UPGRADE 3.0d,2006,86800,3.0L,TURBO CDI,93L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,3,E46 18i,1999,54370,1.9L,MULTI POINT F/INJ,63L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,3,18is,1996,57110,1.8L,ELECTRONIC F/INJ,65L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,3,E46 16ti,2004,41750,1.8L,MULTI POINT F/INJ,63L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,3,18i,1989,36950,1.8L,ELECTRONIC F/INJ,55L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,3,18i,1994,46500,1.8L,ELECTRONIC F/INJ,65L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,3,E90 20i,2006,53400,2.0L,MULTI POINT F/INJ,65L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,5,E39 23i,1996,83600,2.5L,MULTI POINT F/INJ,70L,125Kw,5,4A,4D HATCHBACK,FWD,2672mm
BMW,5,E39 23i,1996,83600,2.5L,MULTI POINT F/INJ,70L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,5,E39 30i SPORT,2002,101400,3.0L,MULTI POINT F/INJ,70L,113Kw,4,5M,2D CONVERTIBLE,FWD,2605mm
BMW,5,E39 30i SPORT,2002,101400,3.0L,MULTI POINT F/INJ,70L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,5,20i,1991,69100,2.0L,ELECTRONIC F/INJ,80L,55Kw,5,5M,5D HATCHBACK,FWD,2460mm
BMW,5,20i,1991,69100,2.0L,ELECTRONIC F/INJ,80L,128Kw,5,6ATip,4D WAGON,4WD,2855mm
BMW,5,20i,1991,69100,2.0L,ELECTRONIC F/INJ,80L,147Kw,5,6ADSG,4D SEDAN,FWD,2578mm
BMW,5,20i,1991,69100,2.0L,ELECTRONIC F/INJ,80L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,3,18i,1991,44300,1.8L,ELECTRONIC F/INJ,65L,125Kw,5,4A,5D HATCHBACK,FWD,2600mm
BMW,3,18i,1991,44300,1.8L,ELECTRONIC F/INJ,65L,110Kw,5,4A,2D CONVERTIBLE,FWD,2605mm
BMW,3,E46 18i,2000,48315,1.9L,MULTI POINT F/INJ,63L,93Kw,5,5M,5D HATCHBACK,FWD,2610mm
BMW,3,E46 18i,2000,48315,1.9L,MULTI POINT F/INJ,63L,175Kw,5,5ASPM,4D SEDAN,FWD,2750mm
BMW,3,18i,1986,38600,1.8L,ELECTRONIC F/INJ,58L,130Kw,5,6AS,4D WAGON,RWD,2760mm
BMW,3,18i,1986,38600,1.8L,ELECTRONIC F/INJ,58L,141Kw,5,5A,4D SEDAN,RWD,2761mm
BMW,3,E36 18is SPORT,1998,58950,1.9L,MULTI POINT F/INJ,62L,85Kw,5,5AS,3D HATCHBACK,RWD,2725mm
BMW,3,E36 18is SPORT,1998,58950,1.9L,MULTI POINT F/INJ,62L,110Kw,5,6A,5D HATCHBACK,RWD,2660mm
BMW,7,35iL EXECUTIVE,1988,145900,3.4L,ELECTRONIC F/INJ,95L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,5,25i,1991,80200,2.5L,ELECTRONIC F/INJ,80L,103Kw,5,4A,4D SEDAN,FWD,2550mm
BMW,5,25i,1991,80200,2.5L,ELECTRONIC F/INJ,80L,80Kw,5,4A,4D HATCHBACK,FWD,2503mm
BMW,3,E46 25Ci,2002,75000,2.5L,MULTI POINT F/INJ,63L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,3,E46 16ti,2005,40350,1.8L,MULTI POINT F/INJ,63L,NULL,NULL,NULL,NULL,NULL,NULL
BMW,X5,E53 3.0d,2005,84300,3.0L,TURBO CDI,93L,NULL,NULL,NULL,NULL,NULL,NULL
CHRYSLER,VALIANT,CM GLX,1979,8014,4.3L,CARB,79L,120Kw,5,3A,4D SEDAN,RWD,2820mm
CHRYSLER,VALIANT,CM GLX,1979,8014,4.3L,CARB,79L,120Kw,5,3A,4D SEDAN,RWD,2820mm
CHRYSLER,300C,LE MY06 CRD,2006,57990,3.0L,DIESEL TURBO F/INJ,71L,160Kw,5,5A,4D SEDAN,RWD,3050mm
CHRYSLER,300C,LE MY06 CRD,2006,57990,3.0L,DIESEL TURBO F/INJ,71L,160Kw,5,5A,4D SEDAN,RWD,3050mm
CHRYSLER,300C,LE MY06 CRD,2006,57990,3.0L,DIESEL TURBO F/INJ,71L,160Kw,5,5A,4D SEDAN,RWD,3050mm
CHRYSLER,300C,LE MY06 CRD,2006,57990,3.0L,DIESEL TURBO F/INJ,71L,160Kw,5,5A,4D SEDAN,RWD,3050mm
CHRYSLER,VOYAGER,RG SE,2002,52590,3.3L,MULTI POINT F/INJ,75L,128Kw,7,4A,4D WAGON,FWD,2787mm
CHRYSLER,VOYAGER,RG SE,2002,52590,3.3L,MULTI POINT F/INJ,75L,128Kw,7,4A,4D WAGON,FWD,2787mm
CHRYSLER,CROSSFIRE,ZH ROADSTER,2005,75990,3.2L,MULTI POINT F/INJ,60L,160Kw,2,5ASeq,2D CONVERTIBLE,RWD,2400mm
CHRYSLER,CROSSFIRE,ZH ROADSTER,2005,75990,3.2L,MULTI POINT F/INJ,60L,160Kw,2,5ASeq,2D CONVERTIBLE,RWD,2400mm
CHRYSLER,CROSSFIRE,ZH ROADSTER,2005,75990,3.2L,MULTI POINT F/INJ,60L,160Kw,2,5ASeq,2D CONVERTIBLE,RWD,2400mm
CHRYSLER,CROSSFIRE,ZH ROADSTER,2005,75990,3.2L,MULTI POINT F/INJ,60L,160Kw,2,5ASeq,2D CONVERTIBLE,RWD,2400mm
CHRYSLER,VOYAGER,GS SE,1999,48200,3.3L,MULTI POINT F/INJ,76L,116Kw,7,4A,4D WAGON,FWD,2878mm
CHRYSLER,VOYAGER,GS SE,1999,48200,3.3L,MULTI POINT F/INJ,76L,116Kw,7,4A,4D WAGON,FWD,2878mm
CHRYSLER,PT CRUISER,MY06 CLASSIC,2005,31990,2.4L,MULTI POINT F/INJ,57L,105Kw,5,4A,5D HATCHBACK,FWD,2616mm
CHRYSLER,PT CRUISER,MY06 CLASSIC,2005,31990,2.4L,MULTI POINT F/INJ,57L,105Kw,5,4A,5D HATCHBACK,FWD,2616mm
CHRYSLER,PT CRUISER,MY06 CLASSIC,2005,31990,2.4L,MULTI POINT F/INJ,57L,105Kw,5,4A,5D HATCHBACK,FWD,2616mm
CHRYSLER,PT CRUISER,MY06 CLASSIC,2005,31990,2.4L,MULTI POINT F/INJ,57L,105Kw,5,4A,5D HATCHBACK,FWD,2616mm
CHRYSLER,PT CRUISER,CLASSIC,2001,35200,2.0L,MULTI POINT F/INJ,57L,104Kw,5,5M,5D HATCHBACK,FWD,2616mm
CHRYSLER,PT CRUISER,CLASSIC,2001,35200,2.0L,MULTI POINT F/INJ,57L,104Kw,5,5M,5D HATCHBACK,FWD,2616mm
CHRYSLER,300C,LE MY06 SRT8,2006,71990,6.1L,MULTI POINT F/INJ,71L,317Kw,5,5A,4D SEDAN,RWD,3050mm
CHRYSLER,300C,LE MY06 SRT8,2006,71990,6.1L,MULTI POINT F/INJ,71L,317Kw,5,5A,4D SEDAN,RWD,3050mm
CHRYSLER,GRAND VOYAGER,RG SE,2004,59090,3.3L,MULTI POINT F/INJ,75L,128Kw,7,4A,4D WAGON,FWD,3030mm
CHRYSLER,GRAND VOYAGER,RG SE,2004,59090,3.3L,MULTI POINT F/INJ,75L,128Kw,7,4A,4D WAGON,FWD,3030mm
CHRYSLER,GRAND VOYAGER,RG SE,2004,59090,3.3L,MULTI POINT F/INJ,75L,128Kw,7,4A,4D WAGON,FWD,3030mm
CHRYSLER,NEON,SE,1997,24880,2.0L,ELECTRONIC F/INJ,47L,98Kw,5,3A,4D SEDAN,FWD,2642mm
CHRYSLER,NEON,SE,1997,24880,2.0L,ELECTRONIC F/INJ,47L,98Kw,5,3A,4D SEDAN,FWD,2642mm
CHRYSLER,NEON,SE,1997,24880,2.0L,ELECTRONIC F/INJ,47L,98Kw,5,3A,4D SEDAN,FWD,2642mm
CHRYSLER,NEON,SE,1997,24880,2.0L,ELECTRONIC F/INJ,47L,98Kw,5,3A,4D SEDAN,FWD,2642mm
CHRYSLER,PT CRUISER,CLASSIC,2004,32490,2.0L,MULTI POINT F/INJ,57L,104Kw,5,4A,5D HATCHBACK,FWD,2616mm
CHRYSLER,VOYAGER,RG 05 UPGRADE LX,2004,62980,3.3L,MULTI POINT F/INJ,75L,128Kw,7,4A,4D WAGON,FWD,3030mm
CHRYSLER,VOYAGER,RG 05 UPGRADE LX,2004,62980,3.3L,MULTI POINT F/INJ,75L,128Kw,7,4A,4D WAGON,FWD,3030mm
CHRYSLER,VOYAGER,RG 05 UPGRADE LX,2004,62980,3.3L,MULTI POINT F/INJ,75L,128Kw,7,4A,4D WAGON,FWD,3030mm
CHRYSLER,VOYAGER,RG 05 UPGRADE LX,2004,62980,3.3L,MULTI POINT F/INJ,75L,128Kw,7,4A,4D WAGON,FWD,3030mm
CHRYSLER,VOYAGER,RG 05 UPGRADE LX,2004,62980,3.3L,MULTI POINT F/INJ,75L,128Kw,7,4A,4D WAGON,FWD,3030mm
CHRYSLER,VOYAGER,RG 05 UPGRADE LX,2004,62980,3.3L,MULTI POINT F/INJ,75L,128Kw,7,4A,4D WAGON,FWD,3030mm
CHRYSLER,PT CRUISER,LIMITED,2004,38490,2.0L,MULTI POINT F/INJ,57L,104Kw,5,4A,5D HATCHBACK,FWD,2616mm
CHRYSLER,VOYAGER,GS SE,2001,46900,3.3L,MULTI POINT F/INJ,76L,116Kw,7,4A,4D WAGON,FWD,2878mm
CHRYSLER,VOYAGER,GS SE,2001,46900,3.3L,MULTI POINT F/INJ,76L,116Kw,7,4A,4D WAGON,FWD,2878mm
CHRYSLER,VALIANT,CM GLX,1979,8014,4.3L,CARB,79L,142Kw,4,5A,2D CABRIOLET,RWD,2690mm
CHRYSLER,VALIANT,CM GLX,1979,8014,4.3L,CARB,79L,72Kw,5,5M,5D HATCHBACK,FWD,2472mm
CHRYSLER,300C,LE MY06 CRD,2006,57990,3.0L,DIESEL TURBO F/INJ,71L,105Kw,5,4A,5D HATCHBACK,FWD,2616mm
CHRYSLER,300C,LE MY06 CRD,2006,57990,3.0L,DIESEL TURBO F/INJ,71L,55Kw,5,5M,5D HATCHBACK,FWD,2400mm
CHRYSLER,300C,LE MY06 CRD,2006,57990,3.0L,DIESEL TURBO F/INJ,71L,NULL,NULL,NULL,NULL,NULL,NULL
CHRYSLER,300C,LE MY06 CRD,2006,57990,3.0L,DIESEL TURBO F/INJ,71L,NULL,NULL,NULL,NULL,NULL,NULL
CHRYSLER,VOYAGER,RG SE,2002,52590,3.3L,MULTI POINT F/INJ,75L,136Kw,7,4A,4D WAGON,4WD,2540mm
CHRYSLER,VOYAGER,RG SE,2002,52590,3.3L,MULTI POINT F/INJ,75L,83Kw,5,5M4x4,4D WAGON,4WD,2540mm
CHRYSLER,CROSSFIRE,ZH ROADSTER,2005,75990,3.2L,MULTI POINT F/INJ,60L,110Kw,5,6AS,4D SEDAN,RWD,2760mm
CHRYSLER,CROSSFIRE,ZH ROADSTER,2005,75990,3.2L,MULTI POINT F/INJ,60L,151Kw,5,4A,5D HATCHBACK,FWD,2605mm
CHRYSLER,CROSSFIRE,ZH ROADSTER,2005,75990,3.2L,MULTI POINT F/INJ,60L,113Kw,4,5M,2D CONVERTIBLE,FWD,2605mm
CHRYSLER,CROSSFIRE,ZH ROADSTER,2005,75990,3.2L,MULTI POINT F/INJ,60L,110Kw,5,4A,2D CONVERTIBLE,FWD,2605mm
CHRYSLER,VOYAGER,GS SE,1999,48200,3.3L,MULTI POINT F/INJ,76L,125Kw,5,5M,4D SEDAN,RWD,2700mm
CHRYSLER,VOYAGER,GS SE,1999,48200,3.3L,MULTI POINT F/INJ,76L,170Kw,5,5AS,2D CONVERTIBLE,RWD,2725mm
CHRYSLER,PT CRUISER,MY06 CLASSIC,2005,31990,2.4L,MULTI POINT F/INJ,57L,142Kw,5,5AS,4D SEDAN,RWD,2830mm
CHRYSLER,PT CRUISER,MY06 CLASSIC,2005,31990,2.4L,MULTI POINT F/INJ,57L,87Kw,5,5M,4D SEDAN,RWD,2725mm
CHRYSLER,PT CRUISER,MY06 CLASSIC,2005,31990,2.4L,MULTI POINT F/INJ,57L,64Kw,5,5M,5D HATCHBACK,FWD,2390mm
CHRYSLER,PT CRUISER,MY06 CLASSIC,2005,31990,2.4L,MULTI POINT F/INJ,57L,NULL,NULL,NULL,NULL,NULL,NULL
CHRYSLER,PT CRUISER,CLASSIC,2001,35200,2.0L,MULTI POINT F/INJ,57L,125Kw,5,4A,4D SEDAN,RWD,2570mm
CHRYSLER,PT CRUISER,CLASSIC,2001,35200,2.0L,MULTI POINT F/INJ,57L,NULL,NULL,NULL,NULL,NULL,NULL
CHRYSLER,300C,LE MY06 SRT8,2006,71990,6.1L,MULTI POINT F/INJ,71L,110Kw,5,5A,4D WAGON,FWD,2675mm
CHRYSLER,300C,LE MY06 SRT8,2006,71990,6.1L,MULTI POINT F/INJ,71L,NULL,NULL,NULL,NULL,NULL,NULL
CHRYSLER,GRAND VOYAGER,RG SE,2004,59090,3.3L,MULTI POINT F/INJ,75L,100Kw,5,5M,4D SEDAN,FWD,2700mm
CHRYSLER,GRAND VOYAGER,RG SE,2004,59090,3.3L,MULTI POINT F/INJ,75L,92Kw,5,4A,4D SEDAN,FWD,2617mm
CHRYSLER,GRAND VOYAGER,RG SE,2004,59090,3.3L,MULTI POINT F/INJ,75L,124Kw,5,5M,3D HATCHBACK,FWD,2472mm
CHRYSLER,NEON,SE,1997,24880,2.0L,ELECTRONIC F/INJ,47L,147Kw,4,5M,2D COUPE,RWD,2525mm
CHRYSLER,NEON,SE,1997,24880,2.0L,ELECTRONIC F/INJ,47L,147Kw,4,6M,2D COUPE,RWD,2525mm
CHRYSLER,NEON,SE,1997,24880,2.0L,ELECTRONIC F/INJ,47L,100Kw,5,5M,4D SEDAN,FWD,2700mm
